x,y
126.929,37.51124
126.9344,37.51187
126.9331,37.50664
126.9312,37.50466
126.9303,37.50746
126.9335,37.51071
126.928,37.50096
126.9281,37.49918
126.9309,37.50408
126.9267,37.50155
126.93,37.50756
126.9265,37.50562
126.927,37.50332
126.9337,37.50622
126.9234,37.49959
126.9229,37.50094
126.9297,37.5074
126.9275,37.49991
126.9271,37.50268
126.9246,37.50083
126.9326,37.50749
126.9234,37.50524
126.9321,37.50895
126.9255,37.5069
126.9221,37.50006
126.9277,37.50927
126.9304,37.5153
126.9307,37.51521
126.923,37.49967
126.9248,37.50454
126.9219,37.50309
126.9237,37.50707
126.9252,37.50055
126.9295,37.51536
126.9289,37.5078
126.9267,37.50612
126.9257,37.51129
126.9265,37.51219
126.9218,37.49933
126.9233,37.50702
126.9337,37.51238
126.9258,37.50288
126.9321,37.50783
126.9289,37.51531
126.9309,37.50437
126.9328,37.513
126.9273,37.49997
126.9323,37.51092
126.9286,37.51099
126.9227,37.50514
126.9303,37.50432
126.9241,37.5
126.9307,37.51428
126.935,37.50736
126.972,37.57284
126.9728,37.57311
126.9721,37.57347
126.9596,37.5003
126.9729,37.50737
126.9624,37.50245
126.9635,37.50113
126.9568,37.50789
126.9591,37.50707
126.9595,37.50267
126.9608,37.5017
126.9611,37.49799
126.9655,37.50443
126.9617,37.49864
126.968,37.50803
126.9594,37.49861
126.9568,37.50718
126.9576,37.50356
126.9651,37.50906
126.9574,37.50813
126.9618,37.49843
126.9587,37.50661
126.9669,37.50559
126.9577,37.5018
126.9691,37.50421
126.9632,37.50939
126.9604,37.49888
126.9628,37.50393
126.9657,37.50309
126.9654,37.5057
126.9584,37.49948
126.9621,37.49839
126.9714,37.5084
126.9592,37.50268
126.9645,37.50838
126.9594,37.50025
126.9629,37.50935
126.9629,37.50199
126.9598,37.49937
126.9669,37.50409
126.9594,37.50921
126.9599,37.49852
126.9591,37.49926
126.9577,37.49881
126.96,37.49851
126.971,37.50729
126.9625,37.51199
126.9596,37.50738
126.967,37.50825
126.9613,37.50881
126.9626,37.51069
126.965,37.50713
126.9643,37.50072
126.969,37.50476
126.9632,37.50771
126.9683,37.50804
126.966,37.50855
127.0499,37.65702
127.0404,37.63502
127.0431,37.64429
127.0429,37.65395
127.0405,37.65472
127.0458,37.64214
127.0409,37.63615
127.0351,37.64126
127.0369,37.64273
127.0432,37.63336
127.0391,37.65503
127.0393,37.65198
127.0422,37.6603
127.0476,37.64323
127.0555,37.64777
127.046,37.65142
127.0376,37.63733
127.0416,37.65691
127.0396,37.65251
127.0394,37.6375
127.045,37.63801
127.0415,37.63919
127.048,37.64909
127.0494,37.64613
127.0389,37.64061
127.0405,37.63711
127.0487,37.64218
127.0526,37.64832
127.0348,37.64347
127.0386,37.63373
127.0365,37.64637
127.0485,37.65252
127.05,37.65353
127.0426,37.65323
127.0524,37.65745
127.0495,37.65167
127.0331,37.64288
127.0483,37.64711
127.0369,37.64196
127.0411,37.63722
127.0368,37.64197
127.0449,37.6616
127.0457,37.64884
127.0433,37.64909
127.0419,37.63453
127.0464,37.65436
127.0472,37.64772
127.038,37.65119
127.0438,37.65396
127.047,37.64609
127.053,37.65681
127.0426,37.64891
127.0399,37.63646
127.0445,37.65897
127.0504,37.65947
127.0402,37.64372
127.0465,37.65649
127.0363,37.64955
127.0344,37.6397
127.041,37.65391
127.0504,37.64441
127.0418,37.63191
127.0467,37.65563
127.0494,37.65499
127.035,37.64646
127.0503,37.65583
127.0421,37.65078
127.0537,37.6529
127.0526,37.65082
127.0389,37.63963
127.0505,37.64614
127.0417,37.64853
127.0466,37.64796
127.0345,37.64491
127.0342,37.6459
127.048,37.64935
127.0363,37.64053
127.0405,37.64709
127.0489,37.64426
127.0548,37.6414
127.045,37.66118
127.0422,37.64706
127.035,37.63759
127.0426,37.64385
127.0448,37.6405
127.0405,37.64666
127.0407,37.65199
127.0478,37.64475
127.0418,37.63853
127.0462,37.64221
127.0429,37.63777
127.0532,37.65116
127.0533,37.64732
127.0443,37.64664
127.0547,37.64408
127.054,37.65452
127.0542,37.64878
127.0437,37.64622
127.0342,37.64101
127.0392,37.65592
127.0527,37.64574
127.0403,37.65149
127.0424,37.65883
127.0519,37.64361
127.044,37.64733
127.0433,37.65047
127.037,37.64141
127.0394,37.63583
127.0425,37.64313
127.0441,37.65847
127.037,37.64361
127.0402,37.6327
127.0408,37.65578
127.0523,37.6462
127.0409,37.63602
127.0432,37.6466
127.0412,37.64111
127.0453,37.64524
127.0456,37.6511
127.0504,37.6569
127.0403,37.65725
127.0454,37.6614
127.049,37.65559
127.0539,37.64423
127.0485,37.64208
127.0426,37.65784
127.0397,37.63469
127.0398,37.64194
127.0366,37.63989
127.0348,37.6435
127.0411,37.65411
127.0367,37.63926
127.0469,37.65609
127.044,37.65124
127.035,37.64033
127.0424,37.6401
127.0366,37.63793
127.0403,37.65543
127.0377,37.64303
127.0459,37.65461
127.0479,37.65396
127.0448,37.65997
127.0378,37.6535
127.0421,37.64569
127.0403,37.63271
127.0549,37.64436
127.0357,37.65014
127.038,37.6451
127.0432,37.63377
127.0519,37.65047
127.0523,37.65366
127.0517,37.65787
127.0393,37.64246
127.0471,37.65789
127.0442,37.64903
127.0493,37.65759
127.0547,37.64038
127.0386,37.64367
127.0513,37.65533
127.0478,37.65607
127.0483,37.65644
127.0415,37.64335
127.0324,37.64313
127.0519,37.64703
127.0417,37.64044
127.0417,37.6546
127.0523,37.65415
127.0363,37.64455
127.0405,37.64165
127.0468,37.65647
127.0413,37.65024
127.0446,37.65813
127.0403,37.63784
127.0419,37.65821
127.0492,37.64458
127.045,37.65061
127.0472,37.64946
127.0525,37.65204
127.0449,37.65061
127.0436,37.64231
127.0444,37.64256
127.0463,37.6567
127.0415,37.65892
127.0371,37.63872
127.0532,37.65721
127.0403,37.63675
127.044,37.65968
127.041,37.63282
127.0474,37.64494
127.0404,37.65527
127.0419,37.64934
127.0414,37.65383
127.0463,37.646
127.045,37.64893
127.0464,37.65067
127.0421,37.64215
127.0489,37.65807
127.0443,37.64645
127.053,37.6536
127.0351,37.63761
127.0476,37.65894
127.0433,37.64122
127.0339,37.6426
127.0465,37.58194
127.0464,37.58984
127.0455,37.59124
127.0485,37.58857
127.049,37.58702
127.0436,37.59105
127.0441,37.59227
127.0442,37.59413
127.0418,37.58966
127.0447,37.58127
127.0435,37.59148
127.047,37.58856
127.0408,37.59063
127.0439,37.59487
127.0458,37.58692
127.043,37.59108
127.0439,37.58588
127.0509,37.58835
127.0427,37.5938
127.0506,37.58583
127.0469,37.58778
127.044,37.58629
127.0493,37.5866
127.0464,37.5917
127.0463,37.58197
127.0406,37.59382
127.0508,37.58732
127.0465,37.59297
127.0512,37.5889
127.0468,37.58288
127.0435,37.58441
127.0468,37.59582
127.0453,37.59631
127.0465,37.59233
127.0465,37.58362
127.0446,37.59412
127.0482,37.58289
127.0408,37.58737
127.048,37.58814
127.0412,37.59363
127.0452,37.58154
127.0619,37.58255
127.0529,37.57845
127.0548,37.58054
127.0647,37.57759
127.0451,37.57806
127.0616,37.58099
127.0505,37.57507
127.0507,37.58403
127.0686,37.58249
127.0546,37.58019
127.0574,37.57679
127.0467,37.58017
127.0482,37.57683
